n1=7 n2=2
0000000: M=1 F=3
0000000: M=2 F=0
0000001: M=0 F=4
0000010: M=1 F=3
0000100: M=0 F=4
0000100: M=1 F=3
0001000: M=2 F=0
0010000: M=0 F=4
0010000: M=1 F=3
0100000: M=1 F=3
0100000: M=2 F=0
0000011: M=0 F=4
0000011: M=1 F=3
0000101: M=0 F=4
0000101: M=1 F=3
0000110: M=1 F=3
0000110: M=2 F=0
0001001: M=0 F=4
0001001: M=1 F=3
0001001: M=2 F=0
0001010: M=0 F=4
0001010: M=1 F=3
0001100: M=0 F=4
0001100: M=2 F=0
0010001: M=0 F=4
0010001: M=2 F=0
0010010: M=0 F=4
0010010: M=1 F=3
0010010: M=2 F=0
0010100: M=1 F=3
0010100: M=2 F=0
0011000: M=1 F=3
0011000: M=2 F=0
0100001: M=0 F=4
0100001: M=1 F=3
0100001: M=2 F=0
0100010: M=1 F=3
0100100: M=0 F=4
0100100: M=1 F=3
0100100: M=2 F=0
0101000: M=0 F=4
0101000: M=1 F=3
0101000: M=2 F=0
0000111: M=0 F=4
0000111: M=1 F=3
0001011: M=1 F=3
0001011: M=2 F=0
0001101: M=0 F=4
0001101: M=1 F=3
0001101: M=2 F=0
0001110: M=2 F=0
0010011: M=0 F=4
0010011: M=1 F=3
0010011: M=2 F=0
0010101: M=0 F=4
0010101: M=1 F=3
0010101: M=2 F=0
0010110: M=2 F=0
0011001: M=0 F=4
0011010: M=0 F=4
0011010: M=1 F=3
0011010: M=2 F=0
0011100: M=1 F=3
0011100: M=2 F=0
0100011: M=0 F=4
0100011: M=1 F=3
0100011: M=2 F=0
0100101: M=0 F=4
0100101: M=1 F=3
0100110: M=0 F=4
0100110: M=1 F=3
0100110: M=2 F=0
0101001: M=0 F=4
0101001: M=1 F=3
0101001: M=2 F=0
0101010: M=0 F=4
0001111: M=0 F=4
0001111: M=1 F=3
0001111: M=2 F=0
0010111: M=0 F=4
0010111: M=1 F=3
0010111: M=2 F=0
0011011: M=1 F=3
0011011: M=2 F=0
0011101: M=0 F=4
0011101: M=1 F=3
0011101: M=2 F=0
0011110: M=1 F=3
0011110: M=2 F=0
0100111: M=0 F=4
0100111: M=1 F=3
0100111: M=2 F=0
0011111: M=0 F=4
0011111: M=1 F=3
0011111: M=2 F=0
