n1=6 n2=3
000000: M=0 F=8
000000: M=1 F=7
000000: M=2 F=4
000001: M=0 F=8
000001: M=1 F=7
000010: M=1 F=7
000010: M=2 F=4
000100: M=0 F=8
000100: M=1 F=7
000100: M=2 F=4
001000: M=0 F=8
001000: M=1 F=7
001000: M=2 F=4
000011: M=2 F=4
000101: M=1 F=7
000101: M=2 F=4
000110: M=0 F=8
000110: M=2 F=4
001100: M=0 F=8
001100: M=1 F=7
001100: M=2 F=4
000111: M=0 F=8
000111: M=1 F=7
001011: M=0 F=8
001011: M=1 F=7
001101: M=1 F=7
001101: M=2 F=4
001110: M=0 F=8
