n1=6 n2=1
000000: M=0 F=2
000010: M=1 F=1
010000: M=0 F=2
010000: M=1 F=1
000101: M=1 F=1
000110: M=0 F=2
001001: M=0 F=2
001001: M=1 F=1
001010: M=1 F=1
001100: M=0 F=2
010100: M=1 F=1
000111: M=0 F=2
001110: M=1 F=1
010011: M=0 F=2
010011: M=1 F=1
010110: M=1 F=1
011001: M=1 F=1
011010: M=0 F=2
011100: M=0 F=2
001111: M=0 F=2
001111: M=1 F=1
010111: M=1 F=1
011101: M=0 F=2
011101: M=1 F=1
011111: M=1 F=1
