n1=6 n2=2
000000: M=0 F=4
000000: M=2 F=0
000001: M=0 F=4
000001: M=2 F=0
000010: M=0 F=4
000100: M=0 F=4
000100: M=1 F=3
000100: M=2 F=0
001000: M=0 F=4
001000: M=1 F=3
001000: M=2 F=0
010000: M=1 F=3
010000: M=2 F=0
000011: M=0 F=4
000011: M=2 F=0
000101: M=0 F=4
000101: M=1 F=3
000110: M=0 F=4
000110: M=2 F=0
001001: M=0 F=4
001001: M=2 F=0
001010: M=0 F=4
001010: M=1 F=3
001010: M=2 F=0
001100: M=1 F=3
001100: M=2 F=0
010001: M=0 F=4
010001: M=1 F=3
010001: M=2 F=0
010010: M=0 F=4
010010: M=1 F=3
010010: M=2 F=0
010100: M=0 F=4
010100: M=1 F=3
010100: M=2 F=0
000111: M=0 F=4
000111: M=1 F=3
000111: M=2 F=0
001011: M=0 F=4
001011: M=2 F=0
001101: M=0 F=4
001101: M=1 F=3
001110: M=0 F=4
001110: M=1 F=3
001110: M=2 F=0
010011: M=0 F=4
010011: M=1 F=3
010011: M=2 F=0
001111: M=0 F=4
001111: M=1 F=3
001111: M=2 F=0
