n1=7 n2=1
0000000: M=0 F=2
0000001: M=1 F=1
0000010: M=0 F=2
0000100: M=1 F=1
0000101: M=0 F=2
0001100: M=1 F=1
0010001: M=1 F=1
0010010: M=1 F=1
0011000: M=0 F=2
0100010: M=1 F=1
0101000: M=0 F=2
0101000: M=1 F=1
0110000: M=0 F=2
0001011: M=0 F=2
0001011: M=1 F=1
0001110: M=0 F=2
0010101: M=1 F=1
0010110: M=0 F=2
0011001: M=0 F=2
0011010: M=1 F=1
0011100: M=1 F=1
0100011: M=0 F=2
0100101: M=0 F=2
0100101: M=1 F=1
0100110: M=1 F=1
0101001: M=1 F=1
0110100: M=0 F=2
0010111: M=0 F=2
0101011: M=1 F=1
0101110: M=0 F=2
0110011: M=0 F=2
0110011: M=1 F=1
0110101: M=1 F=1
0111001: M=0 F=2
0111010: M=0 F=2
0111010: M=1 F=1
0111100: M=1 F=1
0011111: M=0 F=2
0011111: M=1 F=1
0101111: M=0 F=2
0101111: M=1 F=1
0110111: M=1 F=1
0111101: M=0 F=2
0111110: M=1 F=1
0111111: M=1 F=1
